Individual_mouse,Latitude,Longtitude,Sex,HI,Hymenolepis,Taenia,Rodentolepis,Mesocestoides,Calodium,Mastophorus,Trichuris,Heterakis,Aspiculuris+Syphacia
283,50.1188888889,12.3038888889,F,0.827868852,0,0,0,0,0,0,0,0,7
284,50.1188888889,12.3038888889,M,NA,0,0,0,0,0,0,0,0,12
285,50.1188888889,12.3038888889,M,0.784796181,0,0,0,0,0,0,0,0,63
286,50.1188888889,12.3038888889,M,0.806716418,0,0,0,0,0,0,0,0,49
287,50.1188888889,12.3038888889,M,NA,0,0,0,0,0,0,0,0,37
288,50.1188888889,12.3038888889,M,0.79903775,0,0,0,0,0,0,0,0,26
289,50.1188888889,12.3038888889,M,0.800813008,0,0,0,0,0,0,0,0,26
290,50.1188888889,12.3038888889,F,0.792025862,0,0,0,0,0,0,0,0,36
291,50.0919444444,12.9422222222,F,0.029053085,0,0,0,0,0,0,0,0,1
292,50.0919444444,12.9422222222,M,NA,0,0,0,0,0,0,0,0,21
293,50.1188888889,12.3038888889,M,NA,0,0,0,0,0,0,0,0,24
294,50.0919444444,12.9422222222,F,0.027559055,0,0,0,0,0,0,1,0,0
295,50.1169444444,12.2561111111,M,0.857300885,0,0,0,0,0,0,0,0,4
296,50.1169444444,12.2561111111,F,NA,0,0,0,0,0,0,0,0,0
297,50.1169444444,12.2561111111,F,0.867383513,0,0,0,0,0,0,0,NA,73
298,50.1169444444,12.2561111111,F,0.862984218,0,0,0,0,0,0,0,0,24
299,50.1169444444,12.2561111111,M,0.849112426,0,0,0,0,0,0,0,0,110
300,50.1169444444,12.2561111111,M,0.868440503,0,0,0,0,0,0,0,0,25
301,50.1169444444,12.2561111111,M,0.860670844,0,0,0,0,0,0,0,0,26
302,50.1169444444,12.2561111111,M,0.871206514,0,0,0,0,0,0,0,0,173
303,50.1211111111,13.0497222222,M,0.028013269,0,3,5,0,0,0,0,0,542
304,50.1211111111,13.0497222222,M,0.03099631,0,0,0,0,0,0,0,0,142
305,49.9944444444,13.0538888889,F,0.034470505,0,0,9,0,0,0,0,0,42
306,49.9944444444,13.0538888889,F,0.037911302,0,0,0,0,0,0,0,0,10
307,49.9944444444,13.0538888889,M,0.038433382,0,0,0,0,0,0,0,0,67
308,49.9944444444,13.0538888889,M,0.037307974,0,0,7,0,0,0,0,0,78
